Subject,Label,RMSE,Average PCC
S08,LG,2.8545627639287097,0.9832952946935187
S08,US,3.959053011430098,0.9844802583804175
S08,DS,5.223171731878797,0.8882957986310634
S08,UR,2.815168121476156,0.9896895520331597
S08,DR,2.5110485191582232,0.9814449057699507
S09,LG,3.3842906712701804,0.9820115728082134
S09,US,5.0874371124505915,0.9881386617879377
S09,DS,4.457342958746504,0.894600739756333
S09,UR,3.5070393678653407,0.9876543262428015
S09,DR,3.0304737307590472,0.9816344090691562
S04,LG,2.8376995202059496,0.9852553345702202
S04,US,4.300112349352195,0.9870873641725718
S04,DS,3.471027357571256,0.9238390988325952
S04,UR,3.9709215970402116,0.989109482706912
S04,DR,2.7368565853599294,0.9788983650923875
S06,LG,3.6785121553086553,0.97971552356613
S06,US,5.19321293031293,0.9837734977903245
S06,DS,4.5661003650171965,0.8912495830390051
S06,UR,3.7959891935571313,0.9853078539064694
S06,DR,3.419742468076895,0.9775333583970032
S02,DS,4.23525689807326,0.9455970236577204
S02,LG,3.272436962733189,0.9860285163778854
S02,US,4.429162950776961,0.9870866590433767
S02,DR,3.4440908640081864,0.9815206915161508
S02,UR,2.765248910324601,0.9894180513360826
S07,LG,2.997222545434632,0.9792792127254126
S07,US,3.9788151966441068,0.9893878195745175
S07,DS,3.8153883477473856,0.9026523253895951
S07,UR,2.910014839857021,0.9851162021396244
S07,DR,3.1303915410747005,0.9722222125199721
S03,LG,4.028826922924812,0.9704614388221027
S03,US,5.58960347454508,0.979559419957381
S03,DS,3.977507564004423,0.9131915059620567
S03,UR,3.8876261614120686,0.9797949890533183
S03,DR,3.5553925965081343,0.9740148845626474
S05,LG,3.207818750230525,0.9734637867285443
S05,US,4.138794994291549,0.9834981000445124
S05,DS,3.0977418422119567,0.9482721098459633
S05,UR,3.3028490358080935,0.9821312631780212
S05,DR,2.855959886255814,0.97791025397581
S01,LG,4.039942463004468,0.983758965440376
S01,DS,7.1504845918501125,0.8753656386391027
S01,UR,3.3723089208274724,0.9901041787092932
S01,US,4.81481001877047,0.9825295385751552
S01,DR,3.617235939194317,0.9619498766254513
S10,LG,2.794629647922049,0.9792492267648063
S10,US,3.81980520719633,0.9870306145956292
S10,DS,3.1490803723935357,0.9487838865583246
S10,UR,2.89619275741774,0.986803784821258
S10,DR,3.1298954856203465,0.9675064321856777
