Subject,Label,RMSE,Average PCC
S08,LG,3.2104452891631343,0.9757718155272923
S08,US,4.338199790159825,0.9785074300794124
S08,DS,4.871624410204443,0.8753383929246539
S08,UR,2.6535115277868138,0.9856835466792092
S08,DR,2.8817868623603147,0.9812858161985918
S09,LG,2.9700352706950577,0.9848309692996948
S09,US,6.68765093533452,0.9904144770225071
S09,DS,4.878109684519007,0.8907640954293069
S09,UR,3.794357863914197,0.9835616626784726
S09,DR,2.909636892971958,0.9837922747474246
S04,LG,2.386002176887174,0.9852481983482325
S04,US,3.0782736983769463,0.9920162370494585
S04,DS,2.893210640729951,0.9514704829753384
S04,UR,4.027775232712976,0.9863642997239201
S04,DR,2.4485704386121316,0.9798653058950783
S06,LG,2.9709185916426013,0.9792768887435032
S06,US,4.3041080156099945,0.9835383964823826
S06,DS,4.034246340334826,0.9201204949570759
S06,UR,3.4423339263647588,0.985557655584753
S06,DR,3.2728224160287995,0.9737483030012517
S02,DS,3.4299851157708487,0.9515355210323129
S02,LG,3.530797707418133,0.9851565696184003
S02,US,3.4640680073125356,0.9911468560721844
S02,DR,3.255782751662229,0.985656589904811
S02,UR,3.9614828100603003,0.9889791334958329
S07,LG,3.1691482216414486,0.9778275996468628
S07,US,4.12307436590977,0.9851267439699604
S07,DS,3.7069672604187542,0.8865911756888096
S07,UR,3.074179753803511,0.9832873344702944
S07,DR,3.389643764822874,0.9700115336113813
S03,LG,4.004037791007008,0.9573100750977291
S03,US,5.2500197667173705,0.9788075063432863
S03,DS,3.8693990379311485,0.9175966696466024
S03,UR,4.41728332399971,0.9670764294815474
S03,DR,3.2132827193110365,0.9738056310571974
S05,LG,2.770474836412436,0.9792632985814148
S05,US,3.4175352158177685,0.9870720936421947
S05,DS,2.7827659997233414,0.9626936191355095
S05,UR,2.884497982328139,0.980846391105102
S05,DR,2.6329522284007876,0.9781886429355025
S01,LG,2.960347953468829,0.9823176377188853
S01,DS,4.173677656806834,0.9021342815104224
S01,UR,2.9383615990512673,0.9855324133086933
S01,US,5.255008336954824,0.9841831626355673
S01,DR,2.9937139058633693,0.9635935009380795
S10,LG,2.566497408007996,0.9811923405149419
S10,US,3.732738462420762,0.9862552701395866
S10,DS,2.8844214310667446,0.9467970544746989
S10,UR,3.2819737644908,0.9830235102258836
S10,DR,2.5632129448626584,0.9761508449770125
