Subject,Label,RMSE,Average PCC
S08,LG,2.634135118965383,0.9830554250911682
S08,US,3.8894932925254797,0.9808899643136153
S08,DS,4.385184127488247,0.8863807963030453
S08,UR,2.51413849051859,0.9887625216385126
S08,DR,2.1836779552767034,0.985407817964566
S09,LG,2.3848819299421598,0.9830307793172799
S09,US,4.422093135680006,0.988875658220221
S09,DS,3.721506196072992,0.9030408298413866
S09,UR,2.9416155285117513,0.9869594029142799
S09,DR,2.121661923052098,0.9860607844223868
S04,LG,3.2892216033270287,0.9837036478684464
S04,US,3.82234016345662,0.9927647402786516
S04,DS,3.025187638634603,0.9545546828332157
S04,UR,4.329982120167356,0.9895456438573237
S04,DR,3.0920558117602392,0.9759897992255344
S06,LG,3.5593176517860208,0.9793101196294883
S06,US,4.499593811809692,0.9824170095160133
S06,DS,3.842519624340564,0.9236030043391072
S06,UR,3.4843051497233923,0.9863409029457116
S06,DR,3.756699439089435,0.9759912744955404
S02,DS,3.0287927576363947,0.9683469395996895
S02,LG,3.446228292756097,0.9866952887906371
S02,US,3.864791097875462,0.9892861425656252
S02,DR,3.3278539099719606,0.9837520718727258
S02,UR,2.6145806799912594,0.9898285857492494
S07,LG,2.9433784139124177,0.9797493885508763
S07,US,4.175676795757058,0.9897211900290387
S07,DS,3.586911914733449,0.9055496085907196
S07,UR,3.0639373383315642,0.9855057073086801
S07,DR,2.951625840929234,0.9743379411252232
S03,LG,3.2911443741103,0.9739104489707482
S03,US,4.792888780628095,0.9815551801429018
S03,DS,3.9152294203161637,0.9179034605233785
S03,UR,3.943709081301349,0.9772289477581756
S03,DR,3.318312941686486,0.9741698381251105
S05,LG,3.049538023048178,0.974582616863745
S05,US,3.032190803005226,0.9869402163021945
S05,DS,3.700398290697668,0.9520424119550184
S05,UR,3.2121291945114705,0.9785338740293793
S05,DR,2.6874547972551217,0.9768088723656327
S01,LG,3.956426271662606,0.9832663776375857
S01,DS,7.1743261628852535,0.866196715242104
S01,UR,3.1918392762737695,0.9884483546788914
S01,US,4.635256786736493,0.9807246403539382
S01,DR,3.7202291809105534,0.9594124999001297
S10,LG,2.6192716295679905,0.9804827997828983
S10,US,3.7529469692054502,0.9848266146751458
S10,DS,3.0891364880418615,0.9433616155068121
S10,UR,2.962945801617223,0.9872582120154334
S10,DR,3.083211634426462,0.9685587072622134
